,salet
00012,curio
0001201100,rebut
20000,pronk
2000000000,sissy
00000,cornu
0000000001,dumpy
000000000102220,humph
01010,beard
0101001200,aking
010100120021000,awake
10100,boeuf
1010020010,blush
01100,corni
0110012000,favor
011001200021010,focal
0101001201,evade
02100,briny
0210000010,naval
20010,prion
2001001000,serve
01011,grate
0101100221,heath
01000,orcin
0100001000,dwarf
00120,broil
0012000102,woven
001200010202020,model
02000,corny
0200000200,karma
20001,minor
2000101100,stink
0101001211,drake
010100121112202,grade
00022,cerne
0002201000,quiet
00010,drone
0001000011,feign
000100001102001,bench
0101100222,abate
0200001100,movie
020000110021000,major
010110022102222,death
10010,croup
1001002000,fresh
10002,moria
1000200100,crust
20101,stool
00200,doily
0020002010,colon
11010,crash
1101000220,abase
0200000202,depth
020000020200000,marry
01012,recap
0101222110,react
02001,corby
0200100012,batty
0001012002,pride
1010001001,floss
00210,himbo
0021021000,helix
0100012100,croak
21001,prink
2100100000,staff
02020,gormy
0202000100,wacky
020200010002000,paper
00020,nidor
0002010100,unfed
00110,guile
0011000021,whelp
01101,douar
0110100011,trawl
00001,routh
0000101110,outdo
0101011101,adobe
0100002100,gawky
010000210001002,crazy
20020,hewer
2002000222,sower
0101002110,repay
00002,groin
0000210020,digit
0101102222,crate
00100,courd
0010020200,karma
001002020010000,cluck
2001010200,spike
0000010000,mimic
0000002021,nymph
000000202110010,pound
0200000000,maxim
0012000011,linen
0002201010,unmet
10110,blush
1011002022,flesh
0000002000,dhobi
000000200000220,booby
0000112022,dwarf
000011202200011,forth
1000200210,first
2100100020,stand
0021000010,belly
0000001100,bipod
000000110001010,ivory
2001000000,seedy
0000202011,print
0101002220,yearn
0100002022,grade
010000202202210,drain
0001002002,campi
000100200200001,bribe
20002,churn
2000200100,stout
02120,lingy
0212010200,panel
11000,crags
1100022202,crass
0011001012,flume
0110001000,offal
01020,inter
0102000021,agree
0001002101,error
20100,plouk
2010001000,swirl
0101001110,macaw
010100111001000,argue
0012020001,bleed
01211,delta
0010010000,flick
00021,mohur
0002112000,totem
0002000012,whack
000200001220000,wooer
0000202201,front
2000001000,shrub
020000020200100,parry
0001000202,flick
000100020200100,biome
0212020000,lapel
21002,champ
2100200200,start
0002201101,greet
0002010012,goner
00220,feign
0022001010,golem
10101,lusty
0010002000,wooly
001000200002212,loopy
0000002121,round
01002,courd
0100200101,audit
0010000000,lying
020000000012001,gamma
0210011000,labor
10222,islet
0000020000,civic
0001001102,forge
0000022220,corny
00102,clung
0010201200,moult
12000,crimp
1200010100,basic
22200,vodka
2220000101,salad
0101110222,agate
2000010000,spicy
21000,cramp
2100001101,spray
1101000110,essay
000000110000012,fjord
2001010001,spend
